"LSOA11CD","imd_rank","imd_score","income","employment","education","health","crime","housing","living_env","idaci","idaopi"
"E01006512",10518,25.61,0.1,0.08,10.06,1.19,-0.2,24.49,68.91,0.16,0.31
"E01006513",10339,25.91,0.04,0.03,20.13,0.58,1.5,25.15,85.48,0.21,0.2
"E01006514",5247,37.64,0.19,0.15,15.5,1.86,0.74,21.85,58.9,0.23,0.48
"E01006515",1019,58.99,0.43,0.3,33.51,1.9,1.16,17.4,29.78,0.46,0.76
"E01006518",662,63.37,0.43,0.34,49.9,2.24,0.67,15.52,31.03,0.5,0.52
"E01006519",23033,10.98,0.05,0.08,1.76,0.26,0.11,11.37,26.35,0.05,0.08
"E01006520",3867,42.18,0.24,0.21,11.41,1.6,1.34,16.58,53.38,0.21,0.52
"E01006521",8908,28.52,0.17,0.17,13.02,1.07,0.56,9.97,39.68,0.21,0.24
"E01006522",2731,47.32,0.27,0.23,29.18,2.22,1.07,12.49,41.95,0.4,0.48
"E01006523",5351,37.32,0.25,0.2,9.09,1.65,0.68,14.61,42.39,0.29,0.39
"E01006524",24024,10.15,0.05,0.03,6.4,0.57,-0.3,19.78,22.26,0.09,0.17
"E01006525",23149,10.87,0.06,0.08,4.05,0.21,-0.27,13.06,25.97,0.05,0.07
"E01006526",14735,19.38,0.11,0.12,5.34,0.87,0.25,7.09,33.07,0.07,0.22
"E01006527",15258,18.77,0.15,0.12,7.42,0.9,-0.79,9.36,24.41,0.16,0.26
"E01006528",9881,26.71,0.16,0.14,13.85,1.02,0.15,13.67,48.56,0.21,0.26
"E01006529",19679,13.95,0.09,0.09,3.93,0.56,-0.83,3.67,38.73,0.06,0.19
"E01006530",22517,11.41,0.09,0.09,7.05,0.3,-0.56,5.06,15.98,0.12,0.11
"E01006531",22878,11.12,0.1,0.08,5.97,0.4,-0.99,8.2,15.88,0.07,0.15
"E01006532",25698,8.8,0.04,0.07,1.73,0.05,-0.2,20.91,16.5,0.03,0.09
"E01006533",9666,27.11,0.17,0.17,15.45,1.1,0.03,21.09,21.14,0.13,0.25
"E01006534",9213,27.93,0.18,0.18,21.87,1.23,-0.07,12.33,21.52,0.18,0.26
"E01006535",7155,32.4,0.2,0.18,23.78,1.63,0.27,10.87,27.62,0.17,0.3
"E01006536",4616,39.61,0.26,0.24,36.4,1.55,-0.17,11.29,27.4,0.33,0.31
"E01006537",11456,23.95,0.16,0.12,20.35,0.61,-0.24,12.41,51.6,0.28,0.13
"E01006538",13612,20.82,0.14,0.13,19.75,0.81,-0.6,3.33,29.84,0.15,0.19
"E01006539",21200,12.51,0.07,0.1,2.72,0.41,-0.16,14.98,20.4,0.06,0.09
"E01006540",48,78.55,0.48,0.41,62.28,3.02,1.48,18.1,51.82,0.49,0.5
"E01006541",2615,47.93,0.27,0.25,38.22,1.47,1.67,13.31,38.1,0.33,0.31
"E01006542",1167,57.46,0.31,0.29,39.29,1.59,1.82,12.55,58.04,0.43,0.29
"E01006543",10457,25.71,0.13,0.12,25.18,0.68,1,6.89,40.19,0.16,0.19
"E01006544",632,63.7,0.39,0.33,51.95,2.16,1.26,12.43,35.47,0.45,0.41
"E01006545",3829,42.33,0.24,0.22,36.14,1.43,0.77,6.16,58.92,0.31,0.22
"E01006546",747,62.12,0.37,0.28,47.41,1.62,1.71,8.82,66.9,0.53,0.27
"E01006547",50,78.44,0.43,0.4,59.31,2.48,1.8,11.38,71.78,0.54,0.39
"E01006548",404,67.34,0.39,0.31,43.96,2.3,1.34,13.09,66.5,0.47,0.37
"E01006549",2903,46.38,0.25,0.23,10.16,1.8,0.85,27.21,64.79,0.29,0.39
"E01006550",14077,20.18,0.11,0.07,3.27,1.23,0.14,12.89,49.13,0.4,0.37
"E01006551",4819,38.93,0.27,0.21,24.63,1.83,0.21,22.79,23.87,0.4,0.45
"E01006552",1432,55.26,0.4,0.25,46.04,1.26,1.04,27.75,46.15,0.45,0.53
"E01006553",14677,19.47,0.11,0.07,9.75,0.72,0.14,9.68,55.1,0.21,0.3
"E01006554",10277,26.02,0.13,0.13,2.21,1.23,0.16,15.27,59.07,0.06,0.29
"E01006556",178,72.58,0.45,0.31,70.15,2.3,1.33,19.81,52.19,0.51,0.6
"E01006557",14804,19.27,0.09,0.05,15.88,0.76,0.21,14.34,56.86,0.3,0.27
"E01006558",90,75.78,0.46,0.41,51.16,2.83,1.17,14.89,65.23,0.58,0.38
"E01006560",248,70.7,0.45,0.44,56.06,2.61,1.12,20.32,17.59,0.38,0.55
"E01006562",121,74.57,0.44,0.39,74.21,2.24,1.36,15.68,40.74,0.49,0.41
"E01006563",44,78.84,0.53,0.43,64.57,2.73,1.8,19.02,30.82,0.65,0.52
"E01006564",3292,44.55,0.3,0.26,42.52,1.68,0.35,15.88,17.95,0.36,0.35
"E01006565",3478,43.74,0.25,0.22,34.06,1.56,1.26,8.73,45.05,0.26,0.34
"E01006566",10511,25.62,0.15,0.14,13.67,1.08,0.41,9.13,39.55,0.18,0.24
"E01006567",3039,45.68,0.29,0.27,38.97,1.72,0.35,15.47,28.6,0.3,0.35
"E01006568",7879,30.75,0.2,0.17,17.83,1.31,-0.05,27.97,25.29,0.19,0.31
"E01006569",1522,54.64,0.31,0.28,44.35,1.69,1.4,14.78,46.42,0.34,0.4
"E01006570",13018,21.57,0.12,0.15,13.29,0.84,-0.16,9.6,33.6,0.14,0.14
"E01006571",1301,56.32,0.33,0.3,48.95,1.72,1.3,9.98,45.48,0.36,0.42
"E01006572",513,65.33,0.46,0.34,68.29,1.98,0.66,10.11,19.8,0.62,0.42
"E01006573",2528,48.41,0.34,0.26,27.28,1.53,0.47,8.95,55.78,0.41,0.41
"E01006574",1665,53.49,0.37,0.31,37.55,1.8,0.72,7.1,29.79,0.36,0.54
"E01006575",6760,33.39,0.2,0.18,26.4,1.13,0.72,15.24,36.75,0.25,0.24
"E01006576",16809,16.94,0.09,0.09,11.36,0.29,0.22,10.22,42.6,0.13,0.13
"E01006577",19826,13.81,0.07,0.1,5.92,0,0.29,7.11,35.16,0.05,0.11
"E01006578",17639,15.99,0.09,0.1,11.46,0.51,-0.47,7.76,36.55,0.11,0.15
"E01006579",22488,11.43,0.08,0.08,6.31,-0.01,-0.27,8.29,32.16,0.08,0.12
"E01006580",22708,11.25,0.07,0.08,3.9,0.54,0.01,8.65,13.65,0.1,0.11
"E01006581",25651,8.84,0.07,0.07,3.27,-0.19,-0.29,3.72,25.89,0.05,0.13
"E01006582",27764,7.18,0.05,0.06,1.95,-0.48,-0.15,6.26,25.77,0.04,0.08
"E01006583",32090,3.03,0.02,0.03,2.46,-0.37,-1.13,10.56,10.69,0.02,0.04
"E01006584",10898,24.95,0.11,0.16,12.42,0.55,0.71,13.19,45.17,0.06,0.15
"E01006585",1638,53.75,0.36,0.31,43.34,2.08,0.06,14.91,27.23,0.33,0.47
"E01006586",5727,36.11,0.23,0.21,24.43,1.48,0.34,16.56,33.1,0.23,0.36
"E01006587",9804,26.84,0.18,0.18,15.98,0.89,0.36,17.58,23.46,0.16,0.24
"E01006588",6776,33.36,0.21,0.18,6.68,1.55,0.22,7.01,55.89,0.16,0.38
"E01006589",21457,12.3,0.08,0.09,7.34,0.2,-0.24,3.33,23.09,0.08,0.12
"E01006590",14362,19.87,0.11,0.11,3.87,0.45,0.04,6.24,56.68,0.13,0.2
"E01006591",20647,13.03,0.08,0.07,3.38,0.18,-0.5,3.31,50.09,0.07,0.14
"E01006592",27185,7.65,0.06,0.07,0.9,-0.27,-0.61,7.48,26.48,0.07,0.09
"E01006593",13499,20.96,0.12,0.1,16.4,0.72,-0.07,5.9,47.82,0.16,0.22
"E01006594",27937,7.03,0.05,0.07,2.24,-0.22,-2.07,16.62,19.77,0.03,0.1
"E01006595",18567,15.07,0.11,0.1,6.26,0.47,-0.71,6.54,35.39,0.14,0.19
"E01006596",19302,14.34,0.09,0.12,3.48,0.32,-0.08,5.67,24.55,0.08,0.12
"E01006597",26785,7.97,0.05,0.06,0.98,0.04,-0.4,12.76,25.21,0.03,0.1
"E01006598",574,64.45,0.45,0.34,50.57,2.14,0.89,15.19,25.36,0.52,0.48
"E01006599",911,60.26,0.42,0.26,73.88,1.63,1,18.1,26.6,0.52,0.47
"E01006600",1824,52.36,0.34,0.29,43.82,1.82,0.74,10.28,32.9,0.46,0.37
"E01006603",1972,51.48,0.34,0.26,41.98,1.84,0.89,14.53,37.15,0.46,0.45
"E01006604",2070,50.89,0.29,0.27,49.51,1.83,0.71,13.18,45.45,0.37,0.34
"E01006605",2043,51.09,0.32,0.28,42.66,1.72,0.97,13.36,31.48,0.37,0.44
"E01006606",2521,48.44,0.29,0.25,37.62,1.71,1.14,12.75,41.68,0.33,0.36
"E01006607",1608,53.98,0.37,0.29,63.12,1.61,0.31,9.12,30.41,0.43,0.4
"E01006608",4203,41.05,0.27,0.21,27.64,1.48,0.58,12.1,53.6,0.29,0.37
"E01006609",2038,51.11,0.32,0.28,34.1,1.66,0.84,6.85,57.24,0.5,0.26
"E01006610",427,67,0.39,0.3,39.59,2.33,1.56,9.66,71.85,0.47,0.49
"E01006611",24,81.53,0.44,0.39,70.94,2.31,1.91,12.71,75.73,0.5,0.39
"E01006612",595,64.18,0.42,0.38,53.84,2.2,0.78,15.32,19.43,0.5,0.43
"E01006613",2179,50.27,0.29,0.26,34.19,1.49,1.61,10.25,48.98,0.3,0.4
"E01006614",1216,57.09,0.33,0.28,35.82,1.6,1.57,9.91,67.68,0.43,0.3
"E01006615",946,59.72,0.36,0.31,46.09,1.76,1.21,10.36,52.77,0.49,0.42
"E01006616",3316,44.45,0.28,0.25,33.59,1.48,1.01,14.33,35.71,0.31,0.33
"E01006617",11656,23.65,0.14,0.14,11.11,0.92,0.69,7.14,28.01,0.16,0.23
"E01006618",3945,41.89,0.28,0.23,32.53,1.2,0.67,17.89,45.92,0.36,0.37
"E01006619",11532,23.83,0.14,0.14,13.8,0.6,0.25,3.94,51.1,0.18,0.18
"E01006620",12779,21.96,0.15,0.13,9.34,1.05,0.15,8.16,28.1,0.1,0.22
"E01006621",18166,15.48,0.08,0.09,6.57,0.09,0.77,15.15,27.62,0.08,0.12
"E01006622",25530,8.93,0.06,0.06,7.73,-0.29,-0.18,5.18,28.31,0.06,0.09
"E01006623",20374,13.29,0.08,0.11,12.59,0.4,-0.92,13.16,15.63,0.08,0.12
"E01006624",4306,40.71,0.25,0.24,30.32,1.61,0.43,23.42,21.57,0.28,0.29
"E01006625",14501,19.71,0.14,0.12,13.32,0.75,-0.41,3.15,33.82,0.16,0.2
"E01006626",11083,24.59,0.15,0.16,12.82,0.85,0.43,8.24,35.43,0.16,0.22
"E01006627",8895,28.55,0.16,0.15,20.02,0.97,1.03,9.99,32.04,0.13,0.24
"E01006628",12958,21.67,0.13,0.11,6.68,0.87,-0.22,22.71,42.29,0.16,0.29
"E01006629",8693,29.01,0.19,0.18,20.51,1.21,-0.06,16.57,24.28,0.28,0.29
"E01006630",241,70.93,0.45,0.39,73.4,2.42,0.92,20.97,11.49,0.5,0.53
"E01006632",1500,54.77,0.36,0.3,49.19,1.88,0.39,15.38,31.71,0.48,0.4
"E01006633",462,66.3,0.44,0.36,75.77,2.02,0.01,16.33,26.85,0.45,0.58
"E01006637",1711,53.1,0.4,0.31,43.78,1.51,0.38,14.43,22.96,0.42,0.52
"E01006638",301,69.21,0.45,0.36,80.6,1.97,0.85,13.53,22.94,0.57,0.49
"E01006639",9999,26.51,0.2,0.16,28.87,0.77,0.16,13.89,15.36,0.3,0.25
"E01006640",13197,21.35,0.15,0.15,16.67,0.78,-0.29,12.02,18.5,0.12,0.2
"E01006641",12909,21.74,0.12,0.11,17.73,1.48,0.03,10.26,15.79,0.09,0.37
"E01006642",584,64.31,0.42,0.33,68.99,2.16,0.72,12.75,21.72,0.47,0.48
"E01006643",1560,54.32,0.38,0.27,51.48,1.88,0.84,12.68,27.45,0.47,0.43
"E01006644",2637,47.8,0.31,0.27,39.14,2.11,0.46,12.46,23.36,0.3,0.48
"E01006645",375,67.87,0.5,0.37,71.11,2.13,0.25,14.9,14.67,0.65,0.53
"E01006646",636,63.66,0.41,0.31,47.66,2.43,1.25,19.43,32.35,0.6,0.56
"E01006647",116,74.75,0.47,0.4,74.57,2.45,1.17,26.05,15.07,0.52,0.53
"E01006648",2130,50.54,0.3,0.23,46.95,2.4,0.98,22.86,25.92,0.48,0.54
"E01006651",23465,10.62,0.07,0.08,8.68,0.49,-0.29,11.07,8.1,0.07,0.17
"E01006652",8916,28.49,0.17,0.15,27.64,1.01,0.11,6.6,46.86,0.21,0.21
"E01006653",3947,41.88,0.29,0.24,35.07,1.59,0.48,12.46,24.6,0.37,0.35
"E01006654",7707,31.1,0.19,0.16,21.03,0.97,0.76,15.22,43.71,0.16,0.31
"E01006655",5347,37.34,0.23,0.24,23.08,1.66,-0.11,10.71,34.38,0.24,0.37
"E01006656",6568,33.88,0.2,0.18,20.78,0.87,0.65,7,64.82,0.28,0.22
"E01006657",4098,41.4,0.28,0.22,27.51,1.2,0.48,7.39,60.61,0.43,0.3
"E01006658",1282,56.53,0.36,0.32,51.47,2.01,0.54,17.17,20.06,0.45,0.44
"E01006659",832,61.1,0.36,0.34,44.52,2.7,0.8,27.24,23.21,0.4,0.43
"E01006660",3522,43.6,0.27,0.24,31.36,1.71,0.96,13.65,30.55,0.23,0.42
"E01006661",1481,54.87,0.39,0.31,55.43,1.87,-0.11,10.15,20.77,0.44,0.48
"E01006662",689,62.94,0.42,0.32,39.46,2.78,1.12,16.02,23.62,0.41,0.59
"E01006663",4015,41.65,0.29,0.23,35.89,1.78,0.36,20,16.47,0.32,0.47
"E01006664",884,60.55,0.41,0.33,47.28,1.79,0.67,17.41,38.18,0.47,0.38
"E01006665",15404,18.58,0.09,0.12,14.76,0.52,-0.57,32.11,12.04,0.11,0.14
"E01006666",20241,13.43,0.07,0.09,8.8,0.51,-1.39,29.52,8.76,0.05,0.16
"E01006667",6500,34.07,0.24,0.22,27.76,1.19,0.22,19.76,15.44,0.29,0.27
"E01006668",20243,13.43,0.09,0.09,10.62,0.64,-1.87,17.46,10.57,0.1,0.21
"E01006669",14869,19.2,0.14,0.12,16.52,0.63,-0.18,19.66,12.57,0.17,0.23
"E01006670",14103,20.16,0.15,0.13,12.63,1.01,-0.26,12.72,10.23,0.16,0.2
"E01006671",8831,28.69,0.22,0.16,26.82,1.09,0.36,17.36,8.12,0.24,0.35
"E01006672",1571,54.23,0.39,0.27,52.21,1.71,0.73,21.41,19.1,0.49,0.47
